video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
https://www.tiktok.com/@d4vdd/video/7036558165013499183?lang=en,27000,908,206,115,27K,908,206,115,2025-06-28T17:18:20.414494
https://www.tiktok.com/@d4vdd/video/7036588334097124654?lang=en,20100,407,64,29,20.1K,407,64,29,2025-06-28T17:18:30.023917
https://www.tiktok.com/@d4vdd/video/7036986604795333935?lang=en,16700,260,29,11,16.7K,260,29,11,2025-06-28T17:18:39.910322
https://www.tiktok.com/@d4vdd/video/7037279290450464047?lang=en,37500,399,46,18,37.5K,399,46,18,2025-06-28T17:18:52.331025
https://www.tiktok.com/@d4vdd/video/7037338789714578734?lang=en,13000,225,25,9,13K,225,25,9,2025-06-28T17:19:02.775541
https://www.tiktok.com/@d4vdd/video/7038093580308827438?lang=en,11700,203,26,12,11.7K,203,26,12,2025-06-28T17:19:14.020808
https://www.tiktok.com/@d4vdd/video/7038408643787705646?lang=en,11100,201,22,7,11.1K,201,22,7,2025-06-28T17:19:25.674307
https://www.tiktok.com/@d4vdd/video/7040909819397852462?lang=en,11300,213,31,11,11.3K,213,31,11,2025-06-28T17:19:36.307771
https://www.tiktok.com/@d4vdd/video/7041788619870178607?lang=en,10700,220,34,5,10.7K,220,34,5,2025-06-28T17:19:46.897853
https://www.tiktok.com/@d4vdd/video/7042874067774442798?lang=en,10900,381,90,10,10.9K,381,90,10,2025-06-28T17:19:58.840951
https://www.tiktok.com/@d4vdd/video/7043055886801161518?lang=en,10700,225,26,12,10.7K,225,26,12,2025-06-28T17:20:11.140949
https://www.tiktok.com/@d4vdd/video/7043283448554966318?lang=en,10800,335,76,23,10.8K,335,76,23,2025-06-28T17:20:23.454389
https://www.tiktok.com/@d4vdd/video/7043417720347479343?lang=en,864800,26400,2535,279,864.8K,26.4K,2535,279,2025-06-28T17:20:35.105532
https://www.tiktok.com/@d4vdd/video/7043654162541940014?lang=en,70700,691,80,59,70.7K,691,80,59,2025-06-28T17:20:45.969530
https://www.tiktok.com/@d4vdd/video/7044212555849518383?lang=en,10800,274,45,18,10.8K,274,45,18,2025-06-28T17:20:58.215542
https://www.tiktok.com/@d4vdd/video/7044567830964112686?lang=en,9670,234,50,14,9670,234,50,14,2025-06-28T17:21:11.896978
https://www.tiktok.com/@d4vdd/video/7044569164408769839?lang=en,8789,172,23,4,8789,172,23,4,2025-06-28T17:21:25.162622
https://www.tiktok.com/@d4vdd/video/7044684794801900846?lang=en,9235,197,28,4,9235,197,28,4,2025-06-28T17:21:35.738332
https://www.tiktok.com/@d4vdd/video/7044759323733413166?lang=en,9989,219,29,7,9989,219,29,7,2025-06-28T17:21:48.076697
https://www.tiktok.com/@d4vdd/video/7045672292516367621?lang=en,10600,191,22,6,10.6K,191,22,6,2025-06-28T17:21:59.324038
